UNIQUE_KEY,Nom_usuel,Prenom_usuel,Sexe,Date_naissance_recherche,Date_naissance_texte,Formation,Atelier,Commentaire biographique,Notice_MLC,Matricule
75113,Adams,Lewis Greenleaf,masculin,23 novembre 1897,1897-11-23,formation-scolarité à l'École des beaux-arts / 20 mars 1923 / 9 novembre 1926 / Un pavillon-buvette / 9 novembre 1926,,,,
80167,Boring,William A,masculin,07/09/60,05/05/37,"Dates de présence à l’école : Entre 7 avril 1888 et 14 août 1889 
Sujet concours admission : 1° Un portique sur une terrasse 2° Dessin d'après le vase antique, dit le Sosilius 3° Modelage d'après une tête - Date du diplôme : 14 août 1889 
Matricule : 4033 ",,,,
