creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Pieter Brueghel l'Ancien,1525-01-01T00:00:00Z,1569-09-19T00:00:00Z,Brée,Point(5.583333333 51.133333333),"51.133333333333, 5.5833333333333",Bruxelles,,"50.8467, 4.3547"
Friedrich Sustris,1540-01-01T00:00:00Z,1599-01-01T00:00:00Z,Italie,Point(12.0 43.0),"43, 12",Munich,,"48.133333333333, 11.566666666667"
Ambrogio Borgognone,1453-01-01T00:00:00Z,1523-01-01T00:00:00Z,Fossano,Point(7.733333333 44.55),"44.55, 7.7333333333333",Milan,,"45.464161, 9.190336"
Piero di Cosimo,1462-01-11T00:00:00Z,1522-05-02T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Raphaël,1483-04-15T00:00:00Z,1520-04-16T00:00:00Z,Urbino,Point(12.6372 43.725238888),"43.725238888889, 12.6372",Rome,,"41.893055555556, 12.482777777778"
Andrea del Sarto,1486-07-25T00:00:00Z,1530-10-09T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Vittore Carpaccio,1465-01-01T00:00:00Z,1526-01-01T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Koper,,"45.546527777778, 13.729444444444"
Melchior Lorck,1527-01-01T00:00:00Z,1564-01-01T00:00:00Z,Flensbourg,Point(9.436666666 54.781944444),"54.781944444444, 9.4366666666667",Copenhague,,"55.676111111111, 12.568888888889"
Bramantino,1455-01-01T00:00:00Z,1530-01-01T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Michel-Ange,1475-03-15T00:00:00Z,1564-02-28T00:00:00Z,Caprese Michelangelo,Point(11.985833333 43.640833333),"43.640833333333, 11.985833333333",Rome,,"41.893055555556, 12.482777777778"
Jan van Scorel,1495-08-01T00:00:00Z,1562-12-06T00:00:00Z,Schoorl,Point(4.6944 52.7014),"52.7014, 4.6944",Utrecht,,"52.088888888889, 5.1155555555556"
Agnes Dürer,1475-01-01T00:00:00Z,1539-01-01T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Nuremberg,,"49.452777777778, 11.077777777778"
Francesco Francia,1450-01-01T00:00:00Z,1517-01-25T00:00:00Z,Bologne,Point(11.342777777 44.493888888),"44.493888888889, 11.342777777778",Bologne,,"44.493888888889, 11.342777777778"
Giulio Clovio,1498-01-01T00:00:00Z,1578-01-15T00:00:00Z,Grižane-Belgrad,Point(14.718055555 45.202777777),"45.202777777778, 14.718055555556",Rome,,"41.893055555556, 12.482777777778"
Bramante,1444-01-01T00:00:00Z,1514-04-21T00:00:00Z,Fermignano,Point(12.645038888 43.676616666),"43.676616666667, 12.645038888889",Rome,,"41.893055555556, 12.482777777778"
Luca Signorelli,1450-01-01T00:00:00Z,1523-11-05T00:00:00Z,Cortone,Point(11.988055555 43.275555555),"43.275555555556, 11.988055555556",Cortone,,"43.275555555556, 11.988055555556"
Vincenzo Foppa,1427-01-01T00:00:00Z,1515-01-01T00:00:00Z,Bagnolo Mella,Point(10.1854 45.43),"45.43, 10.1854",Brescia,,"45.538888888889, 10.220280555556"
Pompeo Cesura,1500-01-01T00:00:00Z,1571-01-01T00:00:00Z,L'Aquila,Point(13.391991666 42.354008333),"42.354008333333, 13.391991666667",Rome,,"41.893055555556, 12.482777777778"
Bramante,1444-01-01T00:00:00Z,1514-01-01T00:00:00Z,Fermignano,Point(12.645038888 43.676616666),"43.676616666667, 12.645038888889",Rome,,"41.893055555556, 12.482777777778"
Fra Bartolomeo,1472-04-06T00:00:00Z,1517-10-26T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Michael Wolgemut,1434-01-01T00:00:00Z,1519-12-10T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Nuremberg,,"49.452777777778, 11.077777777778"
Francesco d'Ubertino,1494-01-01T00:00:00Z,1557-10-15T00:00:00Z,Borgo San Lorenzo,Point(11.38561 43.95548),"43.95548, 11.38561",Florence,,"43.771388888889, 11.254166666667"
Jan Cornelisz Vermeyen,1500-01-01T00:00:00Z,1559-01-01T00:00:00Z,Beverwijk,Point(4.657222222 52.486388888),"52.486388888889, 4.6572222222222",Bruxelles,,"50.846666666667, 4.3525"
Orazio Alfani,1510-01-01T00:00:00Z,1583-01-01T00:00:00Z,Pérouse,Point(12.3888 43.1121),"43.1121, 12.3888",Rome,,"41.893055555556, 12.482777777778"
Andrea Mantegna,1431-01-01T00:00:00Z,1506-09-13T00:00:00Z,Piazzola sul Brenta,Point(11.766666666 45.533333333),"45.533333333333, 11.766666666667",Mantoue,,"45.156388888889, 10.791111111111"
Francesco d'Ubertino,1494-03-10T00:00:00Z,1557-10-15T00:00:00Z,Borgo San Lorenzo,Point(11.38561 43.95548),"43.95548, 11.38561",Florence,,"43.771388888889, 11.254166666667"
Francesco d'Ubertino,1494-01-01T00:00:00Z,1557-01-01T00:00:00Z,Borgo San Lorenzo,Point(11.38561 43.95548),"43.95548, 11.38561",Florence,,"43.771388888889, 11.254166666667"
Giuseppe Arcimboldo,1527-01-01T00:00:00Z,1593-07-11T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Léonard de Vinci,1452-04-24T00:00:00Z,1519-05-12T00:00:00Z,Anchiano,Point(10.938133333 43.799166666),"43.799166666667, 10.938133333333",château du Clos Lucé,,"47.41, 0.99138888888889"
Hans Springinklee,1495-01-01T00:00:00Z,1540-01-01T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Nuremberg,,"49.452777777778, 11.077777777778"
Pinturicchio,1454-01-01T00:00:00Z,1513-12-11T00:00:00Z,Pérouse,Point(12.3888 43.1121),"43.1121, 12.3888",Sienne,,"43.318333333333, 11.331388888889"
Bramantino,1455-01-01T00:00:00Z,1536-01-01T00:00:00Z,Milan,Point(9.190336 45.464161),"45.464161, 9.190336",Milan,,"45.464161, 9.190336"
Ambrogio Borgognone,1453-01-01T00:00:00Z,1522-01-01T00:00:00Z,Fossano,Point(7.733333333 44.55),"44.55, 7.7333333333333",Milan,,"45.464161, 9.190336"
Jan Polack,1435-01-01T00:00:00Z,1519-01-01T00:00:00Z,Cracovie,Point(19.95 50.066666666),"50.066666666667, 19.95",Munich,,"48.133333333333, 11.566666666667"
Albrecht Dürer,1471-05-30T00:00:00Z,1528-04-16T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Nuremberg,,"49.452777777778, 11.077777777778"
Le Pérugin,1446-01-01T00:00:00Z,1524-01-01T00:00:00Z,Città della Pieve,Point(12.007777777 42.953888888),"42.953888888889, 12.007777777778",Fontignano,,"43.0134, 12.1128"
Le Pérugin,1446-01-01T00:00:00Z,1524-01-01T00:00:00Z,Città della Pieve,Point(12.007777777 42.953888888),"42.953888888889, 12.007777777778",Fontignano,,"43.02436, 12.1919"
Francesco d'Ubertino,1494-03-10T00:00:00Z,1557-01-01T00:00:00Z,Borgo San Lorenzo,Point(11.38561 43.95548),"43.95548, 11.38561",Florence,,"43.771388888889, 11.254166666667"
Fra Bartolomeo,1472-04-06T00:00:00Z,1517-10-31T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Sandro Botticelli,1445-03-10T00:00:00Z,1510-06-06T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Gentile Bellini,1429-01-01T00:00:00Z,1507-03-05T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Venise,,"45.439722222222, 12.331944444444"
Rueland Frueauf le jeune,1470-01-01T00:00:00Z,1545-01-01T00:00:00Z,Salzbourg,Point(13.033333333 47.8),"47.8, 13.033333333333",Passau,,"48.566666666667, 13.466666666667"
Michel Sittow,1459-01-01T00:00:00Z,1525-01-01T00:00:00Z,Tallinn,Point(24.745 59.437222222),"59.437222222222, 24.745",Tallinn,,"59.437222222222, 24.745"
Hans Dürer,1490-02-21T00:00:00Z,1534-01-01T00:00:00Z,Nuremberg,Point(11.077777777 49.452777777),"49.452777777778, 11.077777777778",Cracovie,,"50.066666666667, 19.95"
Jean Clouet,1480-01-01T00:00:00Z,1541-01-01T00:00:00Z,Bruxelles,Point(4.3525 50.846666666),"50.846666666667, 4.3525",Paris,,"48.856577777778, 2.3518277777778"
Thoman Burgkmair,1444-01-01T00:00:00Z,1523-01-01T00:00:00Z,Augsbourg,Point(10.898333333 48.371666666),"48.371666666667, 10.898333333333",Augsbourg,,"48.371666666667, 10.898333333333"
Lorenzo Lotto,1480-01-01T00:00:00Z,1556-01-01T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Loreto,,"43.4403, 13.607430555556"
Hans Brüggemann,1480-01-01T00:00:00Z,1540-01-01T00:00:00Z,Walsrode,Point(9.583333333 52.866666666),"52.866666666667, 9.5833333333333",Husum,,"54.476944444444, 9.0511111111111"
Mariotto Albertinelli,1474-10-31T00:00:00Z,1515-11-25T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Florence,,"43.771388888889, 11.254166666667"
Derick Baegert,1440-01-01T00:00:00Z,1515-01-01T00:00:00Z,Wesel,Point(6.617777777 51.658611111),"51.658611111111, 6.6177777777778",Wesel,,"51.658611111111, 6.6177777777778"
Michel Sittow,1459-01-01T00:00:00Z,1525-12-21T00:00:00Z,Tallinn,Point(24.745 59.437222222),"59.437222222222, 24.745",Tallinn,,"59.437222222222, 24.745"
Pieter Coecke van Aelst,1502-08-24T00:00:00Z,1550-12-06T00:00:00Z,Alost,Point(4.033333333 50.933333333),"50.933333333333, 4.0333333333333",Bruxelles,,"50.8467, 4.3547"
Lorenzo Lotto,1480-01-01T00:00:00Z,1557-01-01T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Loreto,,"43.4403, 13.607430555556"
Hans Fries,1460-01-01T00:00:00Z,1520-01-01T00:00:00Z,Fribourg,Point(7.15 46.8),"46.8, 7.15",Berne,,"46.950833333333, 7.4386111111111"
Andrea Schiavone,1510-01-01T00:00:00Z,1563-12-21T00:00:00Z,Zadar,Point(15.216666666 44.116666666),"44.116666666667, 15.216666666667",Venise,,"45.439722222222, 12.331944444444"
Cornelis Dalem,1530-01-01T00:00:00Z,1573-01-01T00:00:00Z,Anvers,Point(4.4 51.216666666),"51.216666666667, 4.4",Bréda,,"51.583333333333, 4.7833333333333"
Jan Matsys,1509-01-01T00:00:00Z,1575-10-18T00:00:00Z,Anvers,Point(4.4 51.216666666),"51.216666666667, 4.4",Anvers,,"51.216666666667, 4.4"
Alonso Berruguete,1486-01-01T00:00:00Z,1561-09-01T00:00:00Z,Paredes de Nava,Point(-4.694444444 42.152777777),"42.152777777778, -4.6944444444444",Tolède,,"39.866666666667, -4.0333333333333"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.4836 52.15274),"52.154444444444, 4.4947222222222",Leyde,,"52.154444444444, 4.4947222222222"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.4836 52.15274),"52.15274, 4.4836",Leyde,,"52.154444444444, 4.4947222222222"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.4836 52.15274),"52.154444444444, 4.4947222222222",Leyde,,"52.15274, 4.4836"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.4836 52.15274),"52.15274, 4.4836",Leyde,,"52.15274, 4.4836"
Taddeo Zuccaro,1529-09-21T00:00:00Z,1566-09-22T00:00:00Z,Urbino,Point(12.6372 43.725238888),"43.725238888889, 12.6372",Rome,,"41.893055555556, 12.482777777778"
François Dubois,1529-01-01T00:00:00Z,1584-01-01T00:00:00Z,Amiens,Point(2.297777777 49.891944444),"49.891944444444, 2.2977777777778",Lausanne,,"46.533333333333, 6.6333333333333"
Mayken Verhulst,1518-01-01T00:00:00Z,1599-01-01T00:00:00Z,Malines,Point(4.466666666 51.016666666),"51.016666666667, 4.4666666666667",Malines,,"51.016666666667, 4.4666666666667"
Albert Bouts,1450-01-01T00:00:00Z,1549-03-01T00:00:00Z,Louvain,Point(4.7 50.866666666),"50.866666666667, 4.7",Louvain,,"50.866666666667, 4.7"
Hans Burgkmair,1473-01-01T00:00:00Z,1531-01-01T00:00:00Z,Augsbourg,Point(10.898333333 48.371666666),"48.371666666667, 10.898333333333",Augsbourg,,"48.371666666667, 10.898333333333"
Jost Amman,1539-07-03T00:00:00Z,1591-03-17T00:00:00Z,Zurich,Point(8.54 47.378611111),"47.378611111111, 8.54",Nuremberg,,"49.452777777778, 11.077777777778"
Jan Sanders van Hemessen,1500-01-01T00:00:00Z,1566-01-01T00:00:00Z,Hemiksem,Point(4.3439 51.1444),"51.1444, 4.3439",Haarlem,,"52.380277777778, 4.6405555555556"
Hans Asper,1499-01-01T00:00:00Z,1571-03-21T00:00:00Z,Zurich,Point(8.54 47.378611111),"47.378611111111, 8.54",Zurich,,"47.378611111111, 8.54"
Sebastiano del Piombo,1485-01-01T00:00:00Z,1547-07-01T00:00:00Z,Venise,Point(12.331944444 45.439722222),"45.439722222222, 12.331944444444",Rome,,"41.893055555556, 12.482777777778"
Pierre Lescot,1515-01-01T00:00:00Z,1578-09-20T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Francesco di Giorgio Martini,1439-10-02T00:00:00Z,1502-12-09T00:00:00Z,Sienne,Point(11.331388888 43.318333333),"43.318333333333, 11.331388888889",Sienne,,"43.318333333333, 11.331388888889"
Filippino Lippi,1457-01-01T00:00:00Z,1504-04-30T00:00:00Z,Prato,Point(11.096561111 43.880813888),"43.880813888889, 11.096561111111",Florence,,"43.771388888889, 11.254166666667"
Jan Sanders van Hemessen,1500-01-01T00:00:00Z,1575-01-01T00:00:00Z,Hemiksem,Point(4.3439 51.1444),"51.1444, 4.3439",Haarlem,,"52.380277777778, 4.6405555555556"
Andrea Schiavone,1510-01-01T00:00:00Z,1563-12-01T00:00:00Z,Zadar,Point(15.216666666 44.116666666),"44.116666666667, 15.216666666667",Venise,,"45.439722222222, 12.331944444444"
Wilm Dedeke,1460-01-01T00:00:00Z,1528-01-01T00:00:00Z,Lübeck,Point(10.686388888 53.869722222),"53.869722222222, 10.686388888889",Hambourg,,"53.55, 10"
Erhard Altdorfer,1480-01-01T00:00:00Z,1561-01-01T00:00:00Z,Ratisbonne,Point(12.083333333 49.016666666),"49.016666666667, 12.083333333333",Schwerin,,"53.633333333333, 11.416666666667"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.494722222 52.154444444),"52.154444444444, 4.4947222222222",Leyde,,"52.154444444444, 4.4947222222222"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.494722222 52.154444444),"52.15274, 4.4836",Leyde,,"52.154444444444, 4.4947222222222"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.494722222 52.154444444),"52.154444444444, 4.4947222222222",Leyde,,"52.15274, 4.4836"
Lucas van Leyden,1494-01-01T00:00:00Z,1533-01-01T00:00:00Z,Leyde,Point(4.494722222 52.154444444),"52.15274, 4.4836",Leyde,,"52.15274, 4.4836"
Rosso Fiorentino,1494-03-17T00:00:00Z,1540-11-24T00:00:00Z,Florence,Point(11.254166666 43.771388888),"43.771388888889, 11.254166666667",Paris,,"48.856577777778, 2.3518277777778"
Wendel Dietterlin,1550-01-01T00:00:00Z,1599-01-01T00:00:00Z,Pfullendorf,Point(9.256666666 47.924166666),"47.924166666667, 9.2566666666667",Strasbourg,,"48.573333333333, 7.7522222222222"
Quentin Metsys,1466-01-01T00:00:00Z,1530-01-01T00:00:00Z,Louvain,Point(4.7 50.866666666),"50.866666666667, 4.7",Anvers,,"51.216666666667, 4.4"
Giorgio Gandini del Grano,1490-01-01T00:00:00Z,1538-01-01T00:00:00Z,Parme,Point(10.328 44.801472222),"44.801472222222, 10.328",Parme,,"44.801472222222, 10.328"
Juan de Flandes,1450-01-01T00:00:00Z,1519-01-01T00:00:00Z,Gand,Point(3.716666666 51.05),"51.05, 3.7166666666667",Palencia,,"42.016666666667, -4.5333333333333"
Gérard David,1450-01-01T00:00:00Z,1523-08-23T00:00:00Z,Oudewater,Point(4.8686 52.0267),"52.0267, 4.8686",Bruges,,"51.209444444444, 3.22"
Nicolò dell'Abbate,1509-01-01T00:00:00Z,1571-01-01T00:00:00Z,Modène,Point(10.92572 44.64582),"44.64582, 10.92572",Paris,,"48.856577777778, 2.3518277777778"
Crispin van den Broeck,1523-01-01T00:00:00Z,1591-01-01T00:00:00Z,Malines,Point(4.466666666 51.016666666),"51.016666666667, 4.4666666666667",Anvers,,"51.216666666667, 4.4"
Le Primatice,1504-05-10T00:00:00Z,1570-01-01T00:00:00Z,Bologne,Point(11.342777777 44.493888888),"44.493888888889, 11.342777777778",Paris,,"48.856577777778, 2.3518277777778"
Domenico Beccafumi,1486-01-01T00:00:00Z,1551-05-15T00:00:00Z,province de Sienne,Point(11.333333333 43.333333333),"43.333333333333, 11.333333333333",Sienne,,"43.318333333333, 11.331388888889"
Marcus Gheeraerts l'Ancien,1521-01-01T00:00:00Z,1591-01-01T00:00:00Z,Bruges,Point(3.22 51.209444444),"51.209444444444, 3.22",Londres,,"51.507222222222, -0.1275"
Joachim Patinier,1480-01-01T00:00:00Z,1524-01-01T00:00:00Z,Dinant,Point(4.913611111 50.256388888),"50.256388888889, 4.9136111111111",Anvers,,"51.216666666667, 4.4"
Nicolò dell'Abbate,1512-01-01T00:00:00Z,1571-01-01T00:00:00Z,Modène,Point(10.92572 44.64582),"44.64582, 10.92572",Paris,,"48.856577777778, 2.3518277777778"
Levina Teerlinc,1510-01-01T00:00:00Z,1576-06-23T00:00:00Z,Bruges,Point(3.22 51.209444444),"51.209444444444, 3.22",Londres,,"51.507222222222, -0.1275"
Matthias Grünewald,1480-01-01T00:00:00Z,1528-08-31T00:00:00Z,Wurtzbourg,Point(9.929444444 49.794444444),"49.794444444444, 9.9294444444444",Halle,,"51.48333333, 11.96666667"
Matthias Grünewald,1480-01-01T00:00:00Z,1528-08-31T00:00:00Z,Wurtzbourg,Point(9.929444444 49.794444444),"49.794444444444, 9.9294444444444",Halle,,"51.483055555556, 11.971944444444"
Pomponio Amalteo,1505-01-01T00:00:00Z,1588-03-09T00:00:00Z,Motta di Livenza,Point(12.608611111 45.779722222),"45.779722222222, 12.608611111111",San Vito al Tagliamento,,"45.915277777778, 12.855555555556"
