creatorLabel,datebirth,datedeath,placebirthLabel,coord,lat_long,placedeathLabel,coord_2,lat_long_2
Adolf Luntz,1875-01-27T00:00:00Z,1934-02-14T00:00:00Z,Vienne,Point(16.373064 48.20833),"48.20833, 16.373064",Karlsruhe,,"49.013888888889, 8.4041666666667"
Arthur Fitger,1840-10-04T00:00:00Z,1909-06-28T00:00:00Z,Delmenhorst,Point(8.631666666 53.050555555),"53.050555555556, 8.6316666666667",Brême,,"53.076944444444, 8.8088888888889"
Jean Michel Prosper Guérin,1838-03-23T00:00:00Z,1921-04-01T00:00:00Z,Paris,Point(2.351827777 48.856577777),"48.856577777778, 2.3518277777778",Paris,,"48.856577777778, 2.3518277777778"
Adolf Kaufmann,1848-05-15T00:00:00Z,1916-11-25T00:00:00Z,Opava,Point(17.904444444 49.938055555),"49.938055555556, 17.904444444444",Vienne,,"48.20833, 16.373064"
Adolf Helmberger,1885-06-08T00:00:00Z,1967-08-12T00:00:00Z,Sankt Gilgen,Point(13.366666666 47.766666666),"47.766666666667, 13.366666666667",Sankt Gilgen,,"47.766666666667, 13.366666666667"
Adolf Jutz,1887-06-20T00:00:00Z,1945-12-14T00:00:00Z,Fribourg-en-Brisgau,Point(7.849722222 47.994722222),"47.994722222222, 7.8497222222222",lac Tegern,,"47.728333333333, 11.7325"
Adolf Kašpar,1877-12-27T00:00:00Z,1934-06-29T00:00:00Z,Bludov (Šumperk),Point(16.928544272 49.940821862),"49.940821862908, 16.928544272113",Železná Ruda,,"49.137540252733, 13.235220012642"
Niko Pirosmani,1862-05-05T00:00:00Z,1918-04-20T00:00:00Z,Mirzaani,Point(45.963888888 41.568888888),"41.568888888889, 45.963888888889",Tbilissi,,"41.716666666667, 44.783333333333"
André Masson,1896-01-04T00:00:00Z,1987-10-28T00:00:00Z,Balagny-sur-Thérain,Point(2.336388888 49.295277777),"49.295277777778, 2.3363888888889",Paris,,"48.856577777778, 2.3518277777778"
Adolf Hoffmeister,1902-08-15T00:00:00Z,1973-07-24T00:00:00Z,Prague,Point(14.421388888 50.088611111),"50.088611111111, 14.421388888889",Říčky (Brno),,"49.232957456358, 16.355859223955"
Adolf Luntz,1875-01-27T00:00:00Z,1924-01-01T00:00:00Z,Vienne,Point(16.373064 48.20833),"48.20833, 16.373064",Karlsruhe,,"49.013888888889, 8.4041666666667"
Jack Kirby,1917-08-28T00:00:00Z,1994-02-06T00:00:00Z,New York,Point(-73.94 40.67),"40.67, -73.94",Thousand Oaks,,"34.189444444444, -118.875"
